"","label_group_var_value_1","% d'enfants en âge scolaire n'ayant pas fréquenté l'école ou un programme d'éducation pré-primaire à n'importe quel moment de l'année scolaire 2023-2024 %/% Ensemble","Mariage, fiançailles et/ou grossesse %/% Ensemble","Impossibilité de payer les coûts directs de l'éducation %/% Ensemble","Le handicap ou les problèmes de santé de l'enfant l'empêchent d'aller à l'école %/% Ensemble","Manque d'intérêt / L'éducation n'est pas une priorité pour l'enfant ou le ménage %/% Ensemble","Mariage, fiançailles et/ou grossesse %/% Filles","Impossibilité de payer les coûts directs de l'éducation %/% Filles","Le handicap ou les problèmes de santé de l'enfant l'empêchent d'aller à l'école %/% Filles","Impossibilité de payer les coûts directs de l'éducation %/% Garcons","Manque d'intérêt / L'éducation n'est pas une priorité pour l'enfant ou le ménage %/% Garcons","Le handicap ou les problèmes de santé de l'enfant l'empêchent d'aller à l'école %/% Garcons","Manque d'intérêt / L'éducation n'est pas une priorité pour l'enfant ou le ménage %/% Filles","Mariage, fiançailles et/ou grossesse %/% Garcons","% d'enfants en âge scolaire n'ayant pas fréquenté l'école ou un programme d'éducation pré-primaire à n'importe quel moment de l'année scolaire 2023-2024 %/% Filles","% d'enfants en âge scolaire n'ayant pas fréquenté l'école ou un programme d'éducation pré-primaire à n'importe quel moment de l'année scolaire 2023-2024 %/% Garcons","Autre %/% Ensemble","Autre %/% Filles","Autre %/% Garcons"
"1","Ouest","2","2","4","2","2","2","4","2","4","2",NA,NA,NA,"2","2","2","2","3"
"2","Sud-Est","2","2","5","2",NA,"2","5",NA,"5",NA,"2",NA,NA,"2","2","2","2","2"
"3","Nord","2","2","4","2","2","2","4","2","4","2","2","2",NA,"2","2","2","2","2"
"4","Nord-Est","2","2","4",NA,"2","2","4",NA,"4",NA,NA,"2","2","2","2","2","2","3"
"5","Artibonite","2",NA,"5","2",NA,NA,"5",NA,"5",NA,"2",NA,NA,"2","2","2","2","2"
"6","Centre","3","2","5",NA,"2","2","5",NA,"5","2",NA,"2",NA,"3","3","2","2","2"
"7","Sud","2","2","5","2","2","2","4",NA,"5",NA,"2","2",NA,"2","2","2","2",NA
"8","Grande'Anse","2",NA,"5",NA,NA,NA,"5",NA,"5",NA,NA,NA,NA,"2","2",NA,NA,NA
"9","Nord-Ouest","2",NA,"5","2","2",NA,"5","2","4","2","2","2",NA,"2","2","2","2","2"
"10","Nippes","2","2","5","2",NA,"2","5",NA,"5",NA,"2",NA,NA,"2","2","2","2","2"
